#Seq_id        Length(bp)     Circularity    Closely_related_species
C82008         1773           no             Apogon semilineatus 


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C82008         13     826    814        +          CDS    ND1        NADH dehydrogenase subunit 1      1              
C82008         828    899    72         +          tRNA   trnI(gau)  tRNA-Ile                          1              
C82008         898    969    72         -          tRNA   trnQ(uug)  tRNA-Gln                          1              
C82008         968    1038   71         +          tRNA   trnM(cau)  tRNA-Met                          1              
C82008         1038   >1773  736        +          CDS    ND2        NADH dehydrogenase subunit 2      1              


Protein coding genes totally found:  2
tRNA genes totally found:            3
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 5


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX2                                 1
COX3                                 1
CYTB                                 1
ND3                                  1
ND4                                  1
ND4L                                 1
ND5                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
